Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total de la actividad económica,Total nacional ,Total nacional -Total de la actividad económica,12559105,13050687,13347722,13931384,14254464,14402757,13648547,14352401,14875797,15430993,15642620,16067780,16573100,17028177
Total de la actividad económica,Aguascalientes ,Aguascalientes -Total de la actividad económica,121198,126554,129628,138112,150305,150950,143254,152205,158934,167706,172820,192080,197911,216703
Total de la actividad económica,Baja California ,Baja California -Total de la actividad económica,399515,423005,433008,456019,461581,457557,407746,428163,440701,456024,465525,474522,506093,524405
Total de la actividad económica,Baja California Sur ,Baja California Sur -Total de la actividad económica,76048,81546,87398,93656,106199,108975,108339,110656,114708,117346,115028,114169,130296,133147
Total de la actividad económica,Campeche ,Campeche -Total de la actividad económica,1047511,1059561,1038534,1014280,947575,867231,780757,753969,726504,714787,721085,686747,638083,600771
Total de la actividad económica,Coahuila de Zaragoza ,Coahuila de Zaragoza -Total de la actividad económica,436574,449144,458868,480488,500479,498327,421327,489952,523207,549552,538207,566409,573496,583873
Total de la actividad económica,Colima ,Colima -Total de la actividad económica,67733,67794,68258,72534,77526,78954,76447,81992,87945,90540,91422,93679,95850,101336
Total de la actividad económica,Chiapas ,Chiapas -Total de la actividad económica,248123,238376,240280,248414,252536,258290,256698,270989,279447,284734,280925,294769,291842,288692
Total de la actividad económica,Chihuahua ,Chihuahua -Total de la actividad económica,360427,376663,389211,419632,434650,440793,401079,417796,427430,459166,476290,486651,513199,539144
Total de la actividad económica,Ciudad de México ,Ciudad de México -Total de la actividad económica,2132929,2226950,2258092,2374723,2408566,2450391,2362516,2446910,2533807,2633935,2673066,2736587,2842349,2974071
Total de la actividad económica,Durango ,Durango -Total de la actividad económica,152923,157662,155002,160388,162710,165723,163084,169268,176315,182943,189053,193974,195841,202998
Total de la actividad económica,Guanajuato ,Guanajuato -Total de la actividad económica,438354,450953,454626,477647,488730,503024,481675,517169,548163,570922,594576,623184,661819,691613
Total de la actividad económica,Guerrero ,Guerrero -Total de la actividad económica,182714,192558,195220,199541,204880,208285,201239,211891,214478,218118,218811,228386,232053,238468
Total de la actividad económica,Hidalgo ,Hidalgo -Total de la actividad económica,179553,191550,190074,195405,201655,208800,195581,206304,214569,222797,230983,241450,254171,264242
Total de la actividad económica,Jalisco ,Jalisco -Total de la actividad económica,794957,819238,842129,886010,913140,918573,870319,925372,953148,995286,1018579,1061952,1109591,1161406
Total de la actividad económica,México ,México -Total de la actividad económica,1048404,1073841,1099377,1150702,1184658,1198144,1138728,1226814,1283448,1339995,1365154,1402021,1436487,1478587
